Standard Tax Suggestions Report

Status: Förslag från standardtaxor. Ej bekräftad kommun-EDP.
Total parser rows: 241
PROPOSAL: 0
REVIEW: 0
NO_SUGGESTION: 241
Warnings: 2

Details:
- NO_SUGGESTION score=0.119 | 2.1 | En- och tvåbostadshus | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.080 | 2.1 | Fritidshus | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.100 | 2.1 | Verksamhet | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.095 | 2.1 | Lägenhet i flerbostadshus | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.126 | 2.1 | Lägenhet för specialändamål | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.168 | 2.1 | Anläggning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.147 | 2.1 | Säsongsbaserad uppställningsplats | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 2.1 | Campingstuga/-lägenhet | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.092 | 2.2.1 | Kärl 240 l (mat-/restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.103 | 2.2.1 | Extrakärl 190 l (restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.092 | 2.2.2 | Kärl 240 l (mat-/restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.103 | 2.2.2 | Extrakärl 190 l (restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.135 | 2.2.3 | Gemensam uppsamlingsplats för mat-/restavfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 2.2.3 | Extra digital licens (årskostnad) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.118 | 2.2.3 | Fysisk nyckel, kallad fob (engångskostnad) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.118 | 2.2.3 | Byte av telefonnummer kopplat till licens | suggested=  | Ingen tillräckligt stark kunskapsträff.
